"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"226168E","1","0","0","0","0","0","0","20251013","20251215"
"226170E","1","0","1","0","0","0","0","20251013","20251217"
"226174E","0","0","1","1","0","0","0","20251009","20251218"
"226181E","1","1","1","0","0","1","0","20251222","20251231"
"226193E","1","0","0","0","0","0","0","20251013","20251229"
"226195U","0","0","1","0","0","0","0","20251015","20251231"
"226197E","0","0","0","1","0","0","0","20251009","20251218"
"226211E","1","1","1","0","0","0","0","20251222","20251231"
"226213E","1","1","1","0","0","0","0","20251222","20251231"
"226228E","0","0","0","0","0","0","0","20251225","20251225"
"226230E","0","0","0","0","0","1","0","20251011","20251227"
"226231E","0","0","0","0","0","1","0","20251011","20251227"
"226232E","0","0","0","0","0","1","0","20251011","20251227"
"226233E","0","0","0","0","0","1","0","20251011","20251227"
"226234E","1","0","1","1","0","0","0","20251009","20251218"
"226235E","1","0","0","1","0","0","0","20251009","20251218"
"226239E","0","0","0","0","0","1","0","20251011","20251220"
"226240E","0","0","0","0","0","1","0","20251011","20251220"
"226254U","0","0","0","0","0","1","1","20251011","20251228"
"226271E","1","0","0","0","0","0","0","20251013","20251229"
"226273E","0","0","0","0","1","0","0","20251010","20251219"
"226284E","1","1","1","0","0","0","0","20251222","20251231"
"226286E","1","1","1","0","0","0","0","20251222","20251231"
"226288E","1","1","1","0","0","0","0","20251222","20251231"
"226305E","0","0","0","0","0","0","1","20251012","20251228"
"226311E","0","0","0","0","0","1","0","20251011","20251227"
"226312E","0","0","0","0","0","1","0","20251011","20251227"
"226313E","0","0","0","0","0","1","0","20251227","20251227"
"226314E","0","0","0","0","0","1","0","20251227","20251227"
"226321E","0","0","0","0","0","1","0","20251011","20251227"
"226324E","1","0","0","0","1","0","0","20251010","20251219"
"226326E","0","0","1","0","0","0","0","20251015","20251217"
"226327E","0","0","0","1","0","0","0","20251009","20251218"
"226328E","0","0","0","0","0","1","0","20251011","20251220"
"226329E","0","0","0","0","0","1","0","20251011","20251220"
"226356E","0","0","0","1","0","0","0","20251009","20251218"
"226361E","0","1","1","0","0","1","0","20251223","20251231"
"226369E","1","1","1","0","0","0","0","20251222","20251231"
"226371E","1","1","1","0","0","0","0","20251222","20251231"
"226372E","1","1","1","0","0","0","0","20251222","20251231"
"226386E","0","0","0","0","0","0","0","20251225","20251225"
"226387E","0","0","0","0","0","1","0","20251011","20251227"
"226388E","0","0","0","0","0","1","0","20251011","20251227"
"226390E","0","0","0","0","0","1","0","20251011","20251227"
"226391E","0","0","0","0","0","1","0","20251227","20251227"
"226392E","0","0","0","0","0","1","0","20251227","20251227"
"226395E","0","0","0","0","0","1","0","20251011","20251227"
"226396E","0","0","0","0","0","1","0","20251011","20251227"
"226399E","1","0","1","1","1","0","0","20251009","20251219"
"226400E","1","0","1","0","1","0","0","20251010","20251219"
"226408E","1","1","1","0","0","1","0","20251222","20251231"
"226410E","1","1","1","0","0","1","0","20251222","20251231"
"226417E","1","1","1","0","0","0","0","20251222","20251231"
"226418E","1","1","1","0","0","0","0","20251222","20251231"
"226421E","1","0","0","0","0","0","0","20251013","20251229"
"226439E","1","1","1","0","0","0","0","20251222","20251231"
"226440E","1","1","1","0","0","0","0","20251222","20251231"
"226441E","1","1","1","0","0","0","0","20251222","20251231"
"226444E","1","1","1","0","0","0","0","20251222","20251231"
"226457E","0","0","0","0","0","0","1","20251012","20251228"
"226463E","0","0","0","0","0","1","0","20251011","20251227"
"226465E","0","0","0","0","0","1","0","20251011","20251227"
"226467E","0","0","0","0","0","1","0","20251011","20251227"
"226468E","0","0","0","0","0","1","0","20251227","20251227"
"226469E","0","0","0","0","0","1","0","20251227","20251227"
"226470E","0","0","0","0","0","1","0","20251227","20251227"
"226472E","0","0","0","0","0","1","0","20251227","20251227"
