"service_id","date","exception_type"
"651555U","20251212","1"
"651555U","20251215","1"
"651555U","20251216","1"
"651555U","20251217","1"
"651555U","20251218","1"
"651555U","20251219","1"
"651555U","20251222","1"
"651555U","20251223","1"
"651555U","20251224","1"
"651555U","20251225","2"
"651555U","20251226","2"
"651555U","20251229","1"
"651555U","20251230","1"
"651555U","20251231","1"
"651557U","20251009","1"
"651557U","20251010","1"
"651557U","20251013","1"
"651557U","20251014","1"
"651557U","20251015","1"
"651557U","20251016","1"
"651557U","20251017","1"
"651557U","20251020","1"
"651557U","20251021","1"
"651557U","20251022","1"
"651557U","20251023","1"
"651557U","20251024","1"
"651557U","20251027","1"
"651557U","20251028","1"
"651557U","20251029","1"
"651557U","20251030","1"
"651557U","20251031","1"
"651557U","20251103","1"
"651557U","20251104","1"
"651557U","20251105","1"
"651557U","20251106","1"
"651557U","20251107","1"
"651557U","20251110","1"
"651557U","20251111","1"
"651557U","20251112","1"
"651557U","20251113","1"
"651557U","20251114","1"
"651557U","20251117","1"
"651557U","20251118","1"
"651557U","20251119","1"
"651557U","20251120","1"
"651557U","20251121","1"
"651557U","20251124","1"
"651557U","20251125","1"
"651557U","20251126","1"
"651557U","20251127","1"
"651557U","20251128","1"
"651557U","20251201","1"
"651557U","20251202","1"
"651557U","20251203","1"
"651557U","20251204","1"
"651557U","20251205","1"
"651557U","20251208","2"
"651557U","20251209","1"
"651557U","20251210","1"
"651557U","20251211","1"
"651557U","20251212","1"
"651557U","20251215","1"
"651557U","20251216","1"
"651557U","20251217","1"
"651557U","20251218","1"
"651557U","20251219","1"
"651557U","20251222","1"
"651557U","20251223","1"
"651557U","20251224","1"
"651557U","20251225","2"
"651557U","20251226","2"
"651557U","20251229","1"
"651557U","20251230","1"
"651557U","20251231","1"
"651565U","20251019","1"
"651565U","20251026","1"
"651565U","20251101","1"
"651565U","20251102","1"
"651565U","20251109","1"
"651565U","20251116","1"
"651565U","20251123","1"
"651565U","20251130","1"
"651565U","20251207","1"
"651565U","20251208","1"
"651565U","20251214","1"
"651565U","20251221","1"
"651565U","20251225","1"
"651565U","20251226","1"
"651565U","20251228","1"
"651569U","20251019","1"
"651569U","20251026","1"
"651569U","20251101","1"
"651569U","20251102","1"
"651569U","20251109","1"
"651569U","20251116","1"
"651569U","20251123","1"
"651569U","20251130","1"
"651569U","20251207","1"
"651569U","20251208","1"
"651569U","20251214","1"
"651569U","20251221","1"
"651569U","20251225","1"
"651569U","20251226","1"
"651569U","20251228","1"
"651605U","20251019","1"
"651605U","20251026","1"
"651605U","20251101","1"
"651605U","20251102","1"
"651605U","20251109","1"
"651605U","20251116","1"
"651605U","20251123","1"
"651605U","20251130","1"
"651605U","20251207","1"
"651605U","20251208","1"
"651605U","20251214","1"
"651605U","20251221","1"
"651605U","20251225","1"
"651605U","20251226","1"
"651605U","20251228","1"
"651641U","20251009","1"
"651641U","20251010","1"
"651641U","20251013","1"
"651641U","20251014","1"
"651641U","20251015","1"
"651641U","20251016","1"
"651641U","20251017","1"
"651641U","20251020","1"
"651641U","20251021","1"
"651641U","20251022","1"
"651641U","20251023","1"
"651641U","20251024","1"
"651641U","20251027","1"
"651641U","20251028","1"
"651641U","20251029","1"
"651641U","20251030","1"
"651641U","20251031","1"
"651641U","20251103","1"
"651641U","20251104","1"
"651641U","20251105","1"
"651641U","20251106","1"
"651641U","20251107","1"
"651641U","20251110","1"
"651641U","20251111","1"
"651641U","20251112","1"
"651641U","20251113","1"
"651641U","20251114","1"
"651641U","20251117","1"
"651641U","20251118","1"
"651641U","20251119","1"
"651641U","20251120","1"
"651641U","20251121","1"
"651641U","20251124","1"
"651641U","20251125","1"
"651641U","20251126","1"
"651641U","20251127","1"
"651641U","20251128","1"
"651641U","20251201","1"
"651641U","20251202","1"
"651641U","20251203","1"
"651641U","20251204","1"
"651641U","20251205","1"
"651641U","20251208","2"
"651641U","20251209","1"
"651641U","20251210","1"
"651641U","20251211","1"
"651641U","20251212","1"
"651641U","20251215","1"
"651641U","20251216","1"
"651641U","20251217","1"
"651641U","20251218","1"
"651641U","20251219","1"
"651641U","20251222","1"
"651641U","20251223","1"
"651641U","20251224","1"
"651641U","20251225","2"
"651641U","20251226","2"
"651641U","20251229","1"
"651641U","20251230","1"
"651641U","20251231","1"
"651656U","20251015","1"
"651656U","20251022","1"
"651656U","20251029","1"
"651656U","20251105","1"
"651656U","20251112","1"
"651656U","20251119","1"
"651656U","20251126","1"
"651656U","20251203","1"
"651656U","20251210","1"
"651656U","20251217","1"
"651656U","20251224","1"
"651656U","20251231","1"
"651669U","20251011","1"
"651669U","20251018","1"
"651669U","20251025","1"
"651669U","20251101","2"
"651669U","20251108","1"
"651669U","20251115","1"
"651669U","20251122","1"
"651669U","20251129","1"
"651669U","20251206","1"
"651669U","20251213","1"
"651669U","20251220","1"
"651669U","20251227","1"
"651670U","20251011","1"
"651670U","20251018","1"
"651670U","20251025","1"
"651670U","20251101","2"
"651670U","20251108","1"
"651670U","20251115","1"
"651670U","20251122","1"
"651670U","20251129","1"
"651670U","20251206","1"
"651670U","20251213","1"
"651670U","20251220","1"
"651670U","20251227","1"
"651672U","20251011","1"
"651672U","20251018","1"
"651672U","20251025","1"
"651672U","20251101","2"
"651672U","20251108","1"
"651672U","20251115","1"
"651672U","20251122","1"
"651672U","20251129","1"
"651672U","20251206","1"
"651672U","20251213","1"
"651672U","20251220","1"
"651672U","20251227","1"
"651673U","20251011","1"
"651673U","20251018","1"
"651673U","20251025","1"
"651673U","20251101","2"
"651673U","20251108","1"
"651673U","20251115","1"
"651673U","20251122","1"
"651673U","20251129","1"
"651673U","20251206","1"
"651673U","20251213","1"
"651673U","20251220","1"
"651673U","20251227","1"
"651674U","20251011","1"
"651674U","20251018","1"
"651674U","20251025","1"
"651674U","20251101","2"
"651674U","20251108","1"
"651674U","20251115","1"
"651674U","20251122","1"
"651674U","20251129","1"
"651674U","20251206","1"
"651674U","20251213","1"
"651674U","20251220","1"
"651674U","20251227","1"
"651715U","20251009","1"
"651715U","20251010","1"
"651715U","20251013","1"
"651715U","20251014","1"
"651715U","20251015","1"
"651715U","20251016","1"
"651715U","20251017","1"
"651715U","20251020","1"
"651715U","20251021","1"
"651715U","20251022","1"
"651715U","20251023","1"
"651715U","20251024","1"
"651715U","20251027","1"
"651715U","20251028","1"
"651715U","20251029","1"
"651715U","20251030","1"
"651715U","20251031","1"
"651715U","20251103","1"
"651715U","20251104","1"
"651715U","20251105","1"
"651715U","20251106","1"
"651715U","20251107","1"
"651715U","20251110","1"
"651715U","20251111","1"
"651715U","20251112","1"
"651715U","20251113","1"
"651715U","20251114","1"
"651715U","20251117","1"
"651715U","20251118","1"
"651715U","20251119","1"
"651715U","20251120","1"
"651715U","20251121","1"
"651715U","20251124","1"
"651715U","20251125","1"
"651715U","20251126","1"
"651715U","20251127","1"
"651715U","20251128","1"
"651715U","20251201","1"
"651715U","20251202","1"
"651715U","20251203","1"
"651715U","20251204","1"
"651715U","20251205","1"
"651715U","20251208","2"
"651715U","20251209","1"
"651715U","20251210","1"
"651715U","20251211","1"
"651715U","20251212","1"
"651715U","20251215","1"
"651715U","20251216","1"
"651715U","20251217","1"
"651715U","20251218","1"
"651715U","20251219","1"
"651715U","20251222","1"
"651715U","20251223","1"
"651715U","20251224","1"
"651715U","20251225","2"
"651715U","20251226","2"
"651715U","20251229","1"
"651715U","20251230","1"
"651715U","20251231","1"
"651716U","20251009","1"
"651716U","20251010","1"
"651716U","20251013","1"
"651716U","20251014","1"
"651716U","20251015","1"
"651716U","20251016","1"
"651716U","20251017","1"
"651716U","20251020","1"
"651716U","20251021","1"
"651716U","20251022","1"
"651716U","20251023","1"
"651716U","20251024","1"
"651716U","20251027","1"
"651716U","20251028","1"
"651716U","20251029","1"
"651716U","20251030","1"
"651716U","20251031","1"
"651716U","20251103","1"
"651716U","20251104","1"
"651716U","20251105","1"
"651716U","20251106","1"
"651716U","20251107","1"
"651716U","20251110","1"
"651716U","20251111","1"
"651716U","20251112","1"
"651716U","20251113","1"
"651716U","20251114","1"
"651716U","20251117","1"
"651716U","20251118","1"
"651716U","20251119","1"
"651716U","20251120","1"
"651716U","20251121","1"
"651716U","20251124","1"
"651716U","20251125","1"
"651716U","20251126","1"
"651716U","20251127","1"
"651716U","20251128","1"
"651716U","20251201","1"
"651716U","20251202","1"
"651716U","20251203","1"
"651716U","20251204","1"
"651716U","20251205","1"
"651716U","20251208","2"
"651716U","20251209","1"
"651716U","20251210","1"
"651716U","20251211","1"
"651716U","20251212","1"
"651716U","20251215","1"
"651716U","20251216","1"
"651716U","20251217","1"
"651716U","20251218","1"
"651716U","20251219","1"
"651716U","20251222","1"
"651716U","20251223","1"
"651716U","20251224","1"
"651716U","20251225","2"
"651716U","20251226","2"
"651716U","20251229","1"
"651716U","20251230","1"
"651716U","20251231","1"
"651722U","20251019","1"
"651722U","20251026","1"
"651722U","20251101","1"
"651722U","20251102","1"
"651722U","20251109","1"
"651722U","20251116","1"
"651722U","20251123","1"
"651722U","20251130","1"
"651722U","20251207","1"
"651722U","20251208","1"
"651722U","20251214","1"
"651722U","20251221","1"
"651722U","20251225","1"
"651722U","20251226","1"
"651722U","20251228","1"
"651723U","20251019","1"
"651723U","20251026","1"
"651723U","20251101","1"
"651723U","20251102","1"
"651723U","20251109","1"
"651723U","20251116","1"
"651723U","20251123","1"
"651723U","20251130","1"
"651723U","20251207","1"
"651723U","20251208","1"
"651723U","20251214","1"
"651723U","20251221","1"
"651723U","20251225","1"
"651723U","20251226","1"
"651723U","20251228","1"
"651729U","20251009","1"
"651729U","20251010","1"
"651729U","20251013","1"
"651729U","20251014","1"
"651729U","20251015","1"
"651729U","20251016","1"
"651729U","20251017","1"
"651729U","20251020","1"
"651729U","20251021","1"
"651729U","20251022","1"
"651729U","20251023","1"
"651729U","20251024","1"
"651729U","20251027","1"
"651729U","20251028","1"
"651729U","20251029","1"
"651729U","20251030","1"
"651729U","20251031","1"
"651729U","20251103","1"
"651729U","20251104","1"
"651729U","20251105","1"
"651729U","20251106","1"
"651729U","20251107","1"
"651729U","20251110","1"
"651729U","20251111","1"
"651729U","20251112","1"
"651729U","20251113","1"
"651729U","20251114","1"
"651729U","20251117","1"
"651729U","20251118","1"
"651729U","20251119","1"
"651729U","20251120","1"
"651729U","20251121","1"
"651729U","20251124","1"
"651729U","20251125","1"
"651729U","20251126","1"
"651729U","20251127","1"
"651729U","20251128","1"
"651729U","20251201","1"
"651729U","20251202","1"
"651729U","20251203","1"
"651729U","20251204","1"
"651729U","20251205","1"
"651729U","20251208","2"
"651729U","20251209","1"
"651729U","20251210","1"
"651729U","20251211","1"
"651729U","20251212","1"
"651729U","20251215","1"
"651729U","20251216","1"
"651729U","20251217","1"
"651729U","20251218","1"
"651729U","20251219","1"
"651729U","20251222","1"
"651729U","20251223","1"
"651729U","20251224","1"
"651729U","20251225","2"
"651729U","20251226","2"
"651729U","20251229","1"
"651729U","20251230","1"
"651729U","20251231","1"
"651748U","20251019","1"
"651748U","20251026","1"
"651748U","20251101","1"
"651748U","20251102","1"
"651748U","20251109","1"
"651748U","20251116","1"
"651748U","20251123","1"
"651748U","20251130","1"
"651748U","20251207","1"
"651748U","20251208","1"
"651748U","20251214","1"
"651748U","20251221","1"
"651748U","20251225","1"
"651748U","20251226","1"
"651748U","20251228","1"
"651787U","20251011","1"
"651787U","20251018","1"
"651787U","20251025","1"
"651787U","20251101","2"
"651787U","20251108","1"
"651787U","20251115","1"
"651787U","20251122","1"
"651787U","20251129","1"
"651787U","20251206","1"
"651787U","20251213","1"
"651787U","20251220","1"
"651787U","20251227","1"
"651788U","20251011","1"
"651788U","20251018","1"
"651788U","20251025","1"
