"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"897","52U","0","20251010","20251130","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_Di","2","","0","0"
"898","52U","0","20251010","20251130","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI SERALI","frequenza","horizontal","52U_Di","3","","0","0"
"899","52U","0","20251010","20251130","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI MATTUTINI","frequenza","horizontal","52U_Di","4","","0","0"
"900","52U","0","20251010","20251130","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: VIA SCIALOJA, PASSAGGI SERALI","frequenza","horizontal","52U_Di","5","","0","0"
"901","53U","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: CORSO SAN MAURIZIO","dal lunedì al venerdì","horizontal","53U_As","0","","0","0"
"902","53U","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: CORSO SAN MAURIZIO","sabato","horizontal","53U_As","1","","0","0"
"903","53U","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: CORSO SAN MAURIZIO","domenica e festivi","horizontal","53U_As","2","","0","0"
"904","53U","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: OSPEDALE SAN VINCENZO","dal lunedì al venerdì","horizontal","53U_Di","0","","0","0"
"905","53U","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: OSPEDALE SAN VINCENZO","sabato","horizontal","53U_Di","1","","0","0"
"906","53U","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: OSPEDALE SAN VINCENZO","domenica e festivi","horizontal","53U_Di","2","","0","0"
"907","5318E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Castelnuovo Nigra - Castellamonte","dal lunedì al venerdì","horizontal","5318E_As","0","","0","0"
"908","5318E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Castelnuovo Nigra - Castellamonte","sabato","horizontal","5318E_As","1","","0","0"
"909","5318E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Castelnuovo Nigra - Castellamonte","domenica e festivi","horizontal","5318E_As","2","","0","0"
"910","5318E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Castellamonte - Castelnuovo Nigra","dal lunedì al venerdì","horizontal","5318E_Di","0","","0","0"
"911","5318E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Castellamonte - Castelnuovo Nigra","sabato","horizontal","5318E_Di","1","","0","0"
"912","5318E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Castellamonte - Castelnuovo Nigra","domenica e festivi","horizontal","5318E_Di","2","","0","0"
"913","5319E","1","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Bosconero (EATON LIVIA) - Rivarolo - Muraglio - Campo","dal lunedì al venerdì","horizontal","5319E_As","0","","0","0"
"914","5319E","1","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Bosconero (EATON LIVIA) - Rivarolo - Muraglio - Campo","sabato","horizontal","5319E_As","1","","0","0"
"915","5319E","1","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Bosconero (EATON LIVIA) - Rivarolo - Muraglio - Campo","domenica e festivi","horizontal","5319E_As","2","","0","0"
"916","5319E","0","20251010","20251130","1","1","1","1","1","0","0","","","DIREZIONE: Campo - Muraglio - Rivarolo - Bosconero (EATON LIVIA)","dal lunedì al venerdì","horizontal","5319E_Di","0","","0","0"
"917","5319E","0","20251010","20251130","0","0","0","0","0","1","0","","","DIREZIONE: Campo - Muraglio - Rivarolo - Bosconero (EATON LIVIA)","sabato","horizontal","5319E_Di","1","","0","0"
"918","5319E","0","20251010","20251130","0","0","0","0","0","0","1","","","DIREZIONE: Campo - Muraglio - Rivarolo - Bosconero (EATON LIVIA)","domenica e festivi","horizontal","5319E_Di","2","","0","0"
